sensor_index,name,location_type,model,hardware,latitude,longitude
278863,Rio Balsas,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.662691,-100.37312
278869,Veredalta,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.638226,-100.3525
278871,Parroquia Reina de Los Ángeles,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.636341,-100.36872
278875,Secretaría de Relaciones Exteriores,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.667723,-100.38136
278883,Mater International Institute,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.641127,-100.362755
278889,Chipinque Meseta,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.607624,-100.355156
278901,OFICINAS SAN PEDRO PARQUES,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.644024,-100.376305
278919,Residencia Tabachín,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.630367,-100.34808
278929,Rio Caura,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.659946,-100.38283
278931,Residencia Platon,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.630522,-100.36023
278937,Residencia Saqqara,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.652473,-100.349236
278939,Residencia Rio Rosas,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.656303,-100.36027
278951,Parque El Capitán,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.663504,-100.35734
278957,Los Pinos,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.672205,-100.397354
278959,Colegio Nobel,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.657562,-100.39641
278955,Residencia San Mateo,0,PA-II-FLEX,3.0+OPENLOG+NO-DISK+PMSX003-A+PMSX003-B,25.643766,-100.31643
279836,San Roberto International School San Agustin,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.646032,-100.338165
279834,Colegio Ingles Campus Encino,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.637669,-100.33746
279854,Pinos,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.65975,-100.349976
279866,Lomas del Campestre,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.638052,-100.33173
279890,María Desatadora de Nudos,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.624146,-100.37315
279926,Parque Mississippi,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.657495,-100.36317
280524,Privada Paso de la Sierra,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.648457,-100.36256
280520,Irish International School Campus First School,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.639212,-100.34154
280532,Museo La Milarca,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.64443,-100.32734
280534,Residencia Savotino,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.662497,-100.36313
280644,Residencia nogal,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.61478,-100.368286
